Number,Name,All,Inshore,Offshore
1,Anchorage,20,0,20
2,Brickell,3,3,0
3,Dade Sportfish Council,4,0,4
4,Dumfoundling Bay,5,5,0
5,Fish & Game Unlimited,6,0,6
6,Golden Beach,28,0,28
7,Greynolds Park,1,1,0
8,Haulover,9,0,9
9,Julia Tuttle,20,20,0
10,Key Biscayne "SMZ",52,0,52
11,Mercy,7,7,0
12,North Bayside Park,1,0,1
13,Oleta River State Park,7,7,0
14,Pelican Harbor,1,1,0
15,Pflueger,14,0,14
16,Port Of Miami,7,0,7
17,Rickenbacker Causeway,1,1,0
18,R.J Diving Ventures,6,0,6
19,San Souci,1,1,0
20,South Miami Beach,14,0,14
21,Star Island,1,1,0
22,Sunny Isles,20,0,20
23,Tenneco,4,0,4
24,Unidentified,1,0,1
