Year,Reef
1970-01-01,0
1971-01-01,3
1972-01-01,0
1973-01-01,0
1974-01-01,1
1975-01-01,2
1976-01-01,2
1977-01-01,0
1978-01-01,0
1979-01-01,1
1980-01-01,0
1981-01-01,4
1982-01-01,3
1983-01-01,3
1984-01-01,2
1985-01-01,9
1986-01-01,7
1987-01-01,9
1988-01-01,5
1989-01-01,2
1990-01-01,4
1991-01-01,14
1992-01-01,2
1993-01-01,3
1994-01-01,3
1995-01-01,4
1996-01-01,10
1997-01-01,7
1998-01-01,20
1999-01-01,8
2000-01-01,6
2001-01-01,9
2002-01-01,3
2003-01-01,2
2004-01-01,3
2005-01-01,5
2006-01-01,6
2007-01-01,6
2008-01-01,9
2009-01-01,3
2010-01-01,9
2011-01-01,10
2012-01-01,2
2013-01-01,2
2014-01-01,5
2015-01-01,8
2016-01-01,5
2017-01-01,3
2018-01-01,0
2019-01-01,0
